age_years,sex,year,cultural_background,adjusted_population
14,Male,2011,ATSI,446.6688775
14,Female,2011,ATSI,431.0844366
15,Male,2011,ATSI,402.8399145
15,Female,2011,ATSI,402.4227656
16,Male,2011,ATSI,427.2276472
16,Female,2011,ATSI,417.8124505
17,Male,2011,ATSI,440.298406
17,Female,2011,ATSI,366.8953846
0,Male,2012,ATSI,406.6492135
0,Female,2012,ATSI,423.8848305
1,Male,2012,ATSI,451.8012761
1,Female,2012,ATSI,459.4074337
2,Male,2012,ATSI,438.1331132
2,Female,2012,ATSI,427.4001975
3,Male,2012,ATSI,500.1762703
3,Female,2012,ATSI,455.9816237
4,Male,2012,ATSI,469.2086703
4,Female,2012,ATSI,402.0354424
5,Male,2012,ATSI,484.8667658
5,Female,2012,ATSI,437.5783458
6,Male,2012,ATSI,446.2558273
6,Female,2012,ATSI,413.7477349
7,Male,2012,ATSI,413.5581149
7,Female,2012,ATSI,431.3608542
8,Male,2012,ATSI,438.2789655
8,Female,2012,ATSI,397.7911223
9,Male,2012,ATSI,431.5138226
9,Female,2012,ATSI,388.0591884
10,Male,2012,ATSI,426.4548603
10,Female,2012,ATSI,418.744321
11,Male,2012,ATSI,450.3526857
11,Female,2012,ATSI,454.1405707
12,Male,2012,ATSI,434.3847502
12,Female,2012,ATSI,427.9883377
13,Male,2012,ATSI,425.4216373
13,Female,2012,ATSI,430.70729
14,Male,2012,ATSI,446.6688775
14,Female,2012,ATSI,431.0844366
15,Male,2012,ATSI,402.8399145
15,Female,2012,ATSI,402.4227656
16,Male,2012,ATSI,427.2276472
16,Female,2012,ATSI,417.8124505
17,Male,2012,ATSI,440.298406
17,Female,2012,ATSI,366.8953846
0,Male,2013,ATSI,406.6492135
0,Female,2013,ATSI,423.8848305
1,Male,2013,ATSI,451.8012761
1,Female,2013,ATSI,459.4074337
2,Male,2013,ATSI,438.1331132
2,Female,2013,ATSI,427.4001975
3,Male,2013,ATSI,500.1762703
3,Female,2013,ATSI,455.9816237
4,Male,2013,ATSI,469.2086703
4,Female,2013,ATSI,402.0354424
5,Male,2013,ATSI,484.8667658
5,Female,2013,ATSI,437.5783458
6,Male,2013,ATSI,446.2558273
6,Female,2013,ATSI,413.7477349
7,Male,2013,ATSI,413.5581149
7,Female,2013,ATSI,431.3608542
8,Male,2013,ATSI,438.2789655
8,Female,2013,ATSI,397.7911223
9,Male,2013,ATSI,431.5138226
9,Female,2013,ATSI,388.0591884
10,Male,2013,ATSI,426.4548603
10,Female,2013,ATSI,418.744321
11,Male,2013,ATSI,450.3526857
11,Female,2013,ATSI,454.1405707
12,Male,2013,ATSI,434.3847502
12,Female,2013,ATSI,427.9883377
13,Male,2013,ATSI,425.4216373
13,Female,2013,ATSI,430.70729
14,Male,2013,ATSI,446.6688775
14,Female,2013,ATSI,431.0844366
15,Male,2013,ATSI,402.8399145
15,Female,2013,ATSI,402.4227656
16,Male,2013,ATSI,427.2276472
16,Female,2013,ATSI,417.8124505
17,Male,2013,ATSI,440.298406
17,Female,2013,ATSI,366.8953846
0,Male,2014,ATSI,430.8515721
0,Female,2014,ATSI,428.1787075
1,Male,2014,ATSI,549.1519693
1,Female,2014,ATSI,428.3468864
2,Male,2014,ATSI,502.7947255
2,Female,2014,ATSI,453.9430172
3,Male,2014,ATSI,511.3311078
3,Female,2014,ATSI,508.3726284
4,Male,2014,ATSI,511.4795429
4,Female,2014,ATSI,465.2147232
5,Male,2014,ATSI,512.4020032
5,Female,2014,ATSI,514.1215356
6,Male,2014,ATSI,521.1491554
6,Female,2014,ATSI,527.7307742
7,Male,2014,ATSI,487.2058675
7,Female,2014,ATSI,499.7372153
8,Male,2014,ATSI,539.0671181
8,Female,2014,ATSI,481.9985382
9,Male,2014,ATSI,504.4491173
9,Female,2014,ATSI,458.7166095
10,Male,2014,ATSI,526.4899951
10,Female,2014,ATSI,476.3910799
11,Male,2014,ATSI,439.4764867
11,Female,2014,ATSI,463.8638878
12,Male,2014,ATSI,440.5267847
12,Female,2014,ATSI,461.5821383
13,Male,2014,ATSI,452.9438469
13,Female,2014,ATSI,428.2932706
14,Male,2014,ATSI,475.5483126
14,Female,2014,ATSI,451.0090696
15,Male,2014,ATSI,446.7239168
15,Female,2014,ATSI,423.964082
16,Male,2014,ATSI,533.7686663
16,Female,2014,ATSI,480.7530233
17,Male,2014,ATSI,478.177058
17,Female,2014,ATSI,458.6060916
0,Male,2015,ATSI,430.8515721
0,Female,2015,ATSI,428.1787075
1,Male,2015,ATSI,549.1519693
1,Female,2015,ATSI,428.3468864
2,Male,2015,ATSI,502.7947255
2,Female,2015,ATSI,453.9430172
3,Male,2015,ATSI,511.3311078
3,Female,2015,ATSI,508.3726284
