age_years,sex,postcode,year,cultural_background,population
,,,,Indigenous,0
,,"5357, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5360, SA",,Non-Indigenous,7
,,,,Indigenous,0
,,"5371, SA",,Non-Indigenous,8
,,,,Indigenous,0
,,"5372, SA",,Non-Indigenous,17
,,,,Indigenous,0
,,"5373, SA",,Non-Indigenous,19
,,,,Indigenous,0
,,"5374, SA",,Non-Indigenous,6
,,,,Indigenous,0
,,"5381, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5400, SA",,Non-Indigenous,8
,,,,Indigenous,0
,,"5401, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5410, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5411, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5412, SA",,Non-Indigenous,6
,,,,Indigenous,0
,,"5413, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5414, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5415, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5416, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5417, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5418, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5419, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5420, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5421, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5422, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5431, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5432, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5433, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5434, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5440, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5451, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5452, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5453, SA",,Non-Indigenous,25
,,,,Indigenous,3
,,"5454, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5455, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5460, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5461, SA",,Non-Indigenous,14
,,,,Indigenous,0
,,"5462, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5464, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5470, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5471, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5472, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5473, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5480, SA",,Non-Indigenous,7
,,,,Indigenous,0
,,"5481, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5482, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5483, SA",,Non-Indigenous,7
,,,,Indigenous,0
,,"5485, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5490, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5491, SA",,Non-Indigenous,9
,,,,Indigenous,3
,,"5493, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5495, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5501, SA",,Non-Indigenous,48
,,,,Indigenous,6
,,"5502, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5510, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5520, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5521, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5522, SA",,Non-Indigenous,7
,,,,Indigenous,0
,,"5523, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5540, SA",,Non-Indigenous,69
,,,,Indigenous,9
,,"5550, SA",,Non-Indigenous,4
,,,,Indigenous,5
,,"5552, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5554, SA",,Non-Indigenous,19
,,,,Indigenous,3
,,"5555, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5556, SA",,Non-Indigenous,22
,,,,Indigenous,0
,,"5558, SA",,Non-Indigenous,10
,,,,Indigenous,0
,,"5560, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5570, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5571, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5572, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5573, SA",,Non-Indigenous,9
,,,,Indigenous,0
,,"5575, SA",,Non-Indigenous,6
,,,,Indigenous,0
,,"5576, SA",,Non-Indigenous,6
,,,,Indigenous,0
,,"5577, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5580, SA",,Non-Indigenous,3
,,,,Indigenous,0
,,"5581, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5582, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5583, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5600, SA",,Non-Indigenous,28
,,,,Indigenous,0
,,"5601, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5602, SA",,Non-Indigenous,9
,,,,Indigenous,0
,,"5603, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5604, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5605, SA",,Non-Indigenous,6
,,,,Indigenous,0
,,"5606, SA",,Non-Indigenous,70
,,,,Indigenous,6
,,"5607, SA",,Non-Indigenous,31
,,,,Indigenous,4
,,"5608, SA",,Non-Indigenous,48
,,,,Indigenous,10
,,"5609, SA",,Non-Indigenous,24
,,,,Indigenous,0
,,"5611, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5630, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5631, SA",,Non-Indigenous,4
,,,,Indigenous,0
,,"5632, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5633, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5640, SA",,Non-Indigenous,8
,,,,Indigenous,0
,,"5641, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5642, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5650, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5651, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5652, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5653, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5654, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5655, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5660, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5661, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5670, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5671, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5680, SA",,Non-Indigenous,6
,,,,Indigenous,5
,,"5690, SA",,Non-Indigenous,8
,,,,Indigenous,3
,,"5700, SA",,Non-Indigenous,33
,,,,Indigenous,33
,,"5701, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5710, SA",,Non-Indigenous,14
,,,,Indigenous,3
,,"5713, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5715, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5717, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5719, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5720, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5722, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5723, SA",,Non-Indigenous,3
,,,,Indigenous,4
,,"5724, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5725, SA",,Non-Indigenous,34
,,,,Indigenous,4
,,"5730, SA",,Non-Indigenous,5
,,,,Indigenous,0
,,"5731, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5732, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5733, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5734, SA",,Non-Indigenous,0
,,,,Indigenous,0
,,"5950, SA",,Non-Indigenous,0
,,,,Indigenous,0
,Female,"5000, SA",,Non-Indigenous,34
,,,,Indigenous,0
,,"5006, SA",,Non-Indigenous,24
,,,,Indigenous,0
,,"5007, SA",,Non-Indigenous,54
,,,,Indigenous,0
,,"5008, SA",,Non-Indigenous,102
,,,,Indigenous,0
,,"5009, SA",,Non-Indigenous,24
,,,,Indigenous,0
,,"5010, SA",,Non-Indigenous,31
,,,,Indigenous,0
,,"5011, SA",,Non-Indigenous,99
,,,,Indigenous,11
,,"5012, SA",,Non-Indigenous,78
,,,,Indigenous,0
,,"5013, SA",,Non-Indigenous,52
,,,,Indigenous,7
,,"5014, SA",,Non-Indigenous,65
,,,,Indigenous,0
,,"5015, SA",,Non-Indigenous,37
,,,,Indigenous,4
,,"5016, SA",,Non-Indigenous,51
,,,,Indigenous,0
,,"5017, SA",,Non-Indigenous,21
,,,,Indigenous,4
,,"5018, SA",,Non-Indigenous,19
,,,,Indigenous,0
,,"5019, SA",,Non-Indigenous,39
,,,,Indigenous,0
,,"5020, SA",,Non-Indigenous,15
,,,,Indigenous,0
,,"5021, SA",,Non-Indigenous,30
,,,,Indigenous,0
,,"5022, SA",,Non-Indigenous,90
,,,,Indigenous,0
,,"5023, SA",,Non-Indigenous,106
,,,,Indigenous,3
,,"5024, SA",,Non-Indigenous,58
,,,,Indigenous,0
,,"5025, SA",,Non-Indigenous,48
,,,,Indigenous,0
,,"5031, SA",,Non-Indigenous,41
,,,,Indigenous,0
,,"5032, SA",,Non-Indigenous,69
,,,,Indigenous,0
,,"5033, SA",,Non-Indigenous,34
,,,,Indigenous,0
,,"5034, SA",,Non-Indigenous,43
,,,,Indigenous,0
,,"5035, SA",,Non-Indigenous,27
,,,,Indigenous,0
,,"5037, SA",,Non-Indigenous,60
,,,,Indigenous,0
,,"5038, SA",,Non-Indigenous,94
,,,,Indigenous,0
,,"5039, SA",,Non-Indigenous,47
,,,,Indigenous,0
,,"5040, SA",,Non-Indigenous,9
,,,,Indigenous,0
,,"5041, SA",,Non-Indigenous,59
,,,,Indigenous,0
,,"5042, SA",,Non-Indigenous,67
,,,,Indigenous,3
,,"5043, SA",,Non-Indigenous,106
,,,,Indigenous,4
,,"5044, SA",,Non-Indigenous,48
,,,,Indigenous,0
,,"5045, SA",,Non-Indigenous,60
,,,,Indigenous,0
,,"5046, SA",,Non-Indigenous,40
,,,,Indigenous,0
,,"5047, SA",,Non-Indigenous,47
,,,,Indigenous,0
,,"5048, SA",,Non-Indigenous,60
,,,,Indigenous,5
,,"5049, SA",,Non-Indigenous,52
,,,,Indigenous,0
,,"5050, SA",,Non-Indigenous,21
,,,,Indigenous,0
,,"5051, SA",,Non-Indigenous,74
,,,,Indigenous,0
,,"5052, SA",,Non-Indigenous,36
,,,,Indigenous,0
,,"5061, SA",,Non-Indigenous,25
,,,,Indigenous,0
,,"5062, SA",,Non-Indigenous,51
,,,,Indigenous,0
,,"5063, SA",,Non-Indigenous,49
,,,,Indigenous,0
,,"5064, SA",,Non-Indigenous,30
,,,,Indigenous,0
,,"5065, SA",,Non-Indigenous,39
,,,,Indigenous,0
,,"5066, SA",,Non-Indigenous,30
,,,,Indigenous,0
,,"5067, SA",,Non-Indigenous,38
,,,,Indigenous,0
,,"5068, SA",,Non-Indigenous,43
,,,,Indigenous,0
,,"5069, SA",,Non-Indigenous,37
,,,,Indigenous,0
,,"5070, SA",,Non-Indigenous,71
,,,,Indigenous,0
,,"5072, SA",,Non-Indigenous,58
,,,,Indigenous,0
,,"5073, SA",,Non-Indigenous,76
,,,,Indigenous,3
,,"5074, SA",,Non-Indigenous,74
,,,,Indigenous,3
